Question,Answer
The capital of Alabama is,Montgomery
The capital of Alaska is,Juneau
The capital of Arizona is,Phoenix
The capital of Arkansas is,Little Rock
The capital of California is,Sacramento
The capital of Colorado is,Denver
The capital of Connecticut is,Hartford
The capital of Delaware is,Dover
The capital of Florida is,Tallahassee
The capital of Georgia is,Atlanta
The capital of Hawaii is,Honolulu
The capital of Idaho is,Boise
The capital of Illinois is,Springfield
The capital of Indiana is,Indianapolis
The capital of Iowa is,Des Moines
The capital of Kansas is,Topeka
The capital of Kentucky is,Frankfurt
The capital of Louisiana is,Baton Rouge
The capital of Maine is,Augusta
The capital of Maryland is,Annapolis
The capital of Massachusetts is,Boston
The capital of Michigan is,Lansing
The capital of Minnesota is,Saint Paul
The capital of Mississippi is,Jackson
The capital of Missouri is,Jefferson City
The capital of Montana is,Helena
The capital of Nebraska is,Lincoln
The capital of Nevada is,Carson City
The capital of New Hampshire is,Concord
The capital of New Jersey is,Trenton
The capital of New Mexico is,Santa Fe
The capital of New York is,Albany
The capital of North Carolina is,Raleigh
The capital of North Dakota is,Bismarck
The capital of Ohio is,Columbus
The capital of Oklahoma is,Oklahoma City
The capital of Oregon is,Salem
The capital of Pennsylvania is,Harrisburg
The capital of Rhode Island is,Providence
The capital of South Carolina is,Columbia
The capital of South Dakota is,Pierre
The capital of Tennessee is,Nashville
The capital of Texas is,Austin
The capital of Utah is,Salt Lake City
The capital of Vermont is,Montpelier
The capital of Virginia is,Richmond
The capital of Washington is,Olympia
The capital of West Virginia is,Charleston
The capital of Wisconsin is,Madison
The capital of Wyoming is,Cheyenne
